지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
980,강정,2020-06-12,22.4,20.1,606,24.6,1218,5,4.1,743,1.1,196.9
980,강정,2020-06-13,23.6,22.5,1125,25.2,1603,77,8.8,445,2.7,250.3
980,강정,2020-06-14,24.1,21.8,2354,27.2,1638,29.5,11.2,1129,3.7,241.9
980,강정,2020-06-15,21.5,18.3,2337,26,1440,0,4.7,1347,1.3,154.7
980,강정,2020-06-16,23.8,17.5,130,29.7,1440,0,4.7,1205,1.7,174.4
980,강정,2020-06-17,19.8,17.4,1811,23.5,834,12.5,6.8,1720,1.9,28.1
980,강정,2020-06-18,20.8,19.2,7,22.1,1349,42,9.2,539,2.2,78.8
980,강정,2020-06-19,19.9,16.9,2339,23.4,1702,6,4.9,128,1.5,47.8
980,강정,2020-06-20,21.6,16.7,26,26.1,1420,0,10,1339,2.5,115.3
980,강정,2020-06-21,22.1,18.6,2226,26.6,1343,0,9.3,1347,2.8,92.8
980,강정,2020-06-22,22.6,16.9,324,27.1,1355,0,7.5,1129,2.4,106.9
980,강정,2020-06-23,24.3,19.7,438,27.6,1213,0,7.7,1042,2.8,157.5
980,강정,2020-06-24,23.1,22.6,1307,24.2,620,128.5,9.3,1307,2.6,168.8
980,강정,2020-06-25,22.3,20.3,2343,24.9,1316,30.5,7.2,1821,1.9,295.3
980,강정,2020-06-26,23,18.6,613,27.1,1222,0,7.9,1239,1.9,149.1
980,강정,2020-06-27,24.3,22,648,28.5,1328,2,5.5,1507,1.3,118.1
980,강정,2020-06-28,24.3,19.7,2359,29.8,1104,0,5,1217,1.2,140.6
980,강정,2020-06-29,21.7,19.2,307,24.3,1525,65.5,14.7,2133,3.2,188.4
980,강정,2020-06-30,21.2,19.6,438,24,1427,0,15.2,411,6.6,264.4
980,강정,2020-07-01,22,18.3,2350,26.4,1505,0,10.5,11,2.7,292.5
980,강정,2020-07-02,22.3,16.9,514,26.2,1258,0,6.6,2332,1.9,70.3
980,강정,2020-07-03,21.8,20.2,1418,23.6,1601,40.5,12.1,1541,4.3,67.5
980,강정,2020-07-04,,,,,,1,,,,
980,강정,2020-07-05,22.4,20.8,340,25.7,1516,0,5.6,1059,1.2,109.7
980,강정,2020-07-06,23.3,20.8,56,25.1,1639,48.5,6.9,1332,1.6,236.3
980,강정,2020-07-07,21.9,19.3,2357,27,843,105.5,6.6,855,1.5,87.2
980,강정,2020-07-08,22.5,18.7,141,27.4,1415,0,5.7,1559,1.2,182.8
980,강정,2020-07-09,25.2,21.5,38,29.5,1242,7.5,9.2,1023,2.4,53.4
980,강정,2020-07-10,25.3,21.6,2353,31.7,1603,120,10.1,132,3.2,160.3
980,강정,2020-07-11,22.8,20.2,504,27,1626,0,5.4,1024,1.3,241.9
980,강정,2020-07-12,23.5,21.8,416,24.7,2059,20,9,713,2.6,81.6
980,강정,2020-07-13,23,21,2358,26.9,1305,24,9.7,2343,4.3,258.8
980,강정,2020-07-14,21.3,19.8,2222,24.1,1516,0,11,521,4.5,278.4
980,강정,2020-07-15,21.1,18.4,2323,25,1601,0,9.1,106,2,272.8
980,강정,2020-07-16,22,17,349,27.2,1444,0,7.1,1606,2,126.6
980,강정,2020-07-17,21.5,16.7,323,26.2,1305,0,6,1547,2,163.1
980,강정,2020-07-18,23,19.3,24,24.5,2352,1,7.6,1450,2.7,70.3
980,강정,2020-07-19,25.9,24.5,1,27.2,1451,1.5,7.8,1914,2.2,154.7
980,강정,2020-07-20,25.2,23.1,2343,29.2,1406,4.5,7.9,406,2,219.4
980,강정,2020-07-21,24.7,23.1,15,26.6,1533,4,5,334,1.2,326.3
980,강정,2020-07-22,25.3,23.9,2356,28.8,1155,1,6.8,1047,2.4,233.4
980,강정,2020-07-23,24.6,22.3,2334,25.8,1214,10,13.4,1838,3.3,225
980,강정,2020-07-24,21.1,20,1842,23.6,1109,5,12.4,747,6,244.7
980,강정,2020-07-25,21.7,19.1,2214,25.3,1742,1.5,8.5,20,3.3,258.8
980,강정,2020-07-26,23.5,17.5,524,28.1,1220,0,6.1,1211,1.6,255.9
980,강정,2020-07-27,24,22,22,25.4,2320,40.5,8.2,958,2.5,75.9
980,강정,2020-07-28,25.8,24.8,448,27.5,1424,0,6.7,1637,2.5,205.3
980,강정,2020-07-29,26.7,25,244,29.6,1521,.5,6.9,1338,2.2,236.3
980,강정,2020-07-30,27.3,24.2,2356,30.6,1324,0,5.6,1107,1.9,216.6
980,강정,2020-07-31,26.5,23.2,557,30.3,1339,0,5,1042,1.6,140.6
980,강정,2020-08-01,26.7,22.3,614,29.8,1418,0,6,1549,2,208.1
980,강정,2020-08-02,27.4,26.3,439,29.4,1456,0,7.4,1122,2.3,227.8
980,강정,2020-08-03,27.6,26.6,520,30,1424,0,7,1214,1.9,154.7
980,강정,2020-08-04,28.1,26.4,106,30.8,1250,0,8.5,1047,2.2,160.3
980,강정,2020-08-05,26.9,24.6,857,28.2,1341,24.5,8.9,842,2.4,165.9
980,강정,2020-08-06,26.6,25.8,1021,27,11,21.5,8.4,1013,2.8,233.4
980,강정,2020-08-07,27,26.5,2002,27.7,929,.5,7.9,114,2.6,275.6
980,강정,2020-08-08,26.7,26.3,718,27.4,1404,0,8.2,451,2.8,227.8
980,강정,2020-08-09,27.7,26.1,2152,30.6,1417,.5,7.1,1410,2.1,165.9
980,강정,2020-08-10,27.1,25.7,645,28.1,1541,12.5,9,1243,2.4,239.1
980,강정,2020-08-11,27.1,26,1133,28,1645,14.5,10.8,2049,2.9,233.4
980,강정,2020-08-12,27.8,26.9,452,30,1416,1,7.4,1354,2.4,222.2
980,강정,2020-08-13,28.2,27.1,101,30.3,1319,0,6.4,1251,2.4,222.2
980,강정,2020-08-14,28,26.9,443,29.8,1252,0,7,353,2.6,286.9
980,강정,2020-08-15,27.9,23.9,2355,32,1242,0,6.4,1357,2.6,227.8
980,강정,2020-08-16,28.1,23.5,28,31.9,1358,0,5.8,1039,2.2,208.1
980,강정,2020-08-17,27.4,24,139,31.8,1331,0,5.5,1128,1.9,199.7
980,강정,2020-08-18,27.3,22.8,535,31.9,1255,0,5.8,1033,2,157.5
980,강정,2020-08-19,26.9,21.1,532,31.7,1106,0,6.1,1359,2.1,154.7
980,강정,2020-08-20,27.2,20.6,423,33,1533,0,5.5,1340,1.9,185.6
980,강정,2020-08-21,27.2,22,338,31.9,1404,0,6,1417,2,149.1
980,강정,2020-08-22,27.1,25.1,328,31.2,1130,0,8.1,850,2.4,87.2
980,강정,2020-08-23,27.2,23.7,355,31,1111,14.5,6.9,1219,1.9,36.6
980,강정,2020-08-24,28.7,24.7,109,32.3,1454,0,7.7,2324,2.6,56.3
980,강정,2020-08-25,27.9,24.7,1833,31.2,1340,31.5,12.3,1611,4.6,47.8
980,강정,2020-08-26,26.3,24.8,618,28.3,419,69,23.1,1308,6.9,118.1
980,강정,2020-08-27,26.5,25.6,419,27.6,1520,0,10.9,42,2.5,185.6
980,강정,2020-08-28,27.4,25.2,2216,30.8,1242,15,7.2,1318,2.1,146.3
980,강정,2020-08-29,27.1,24.5,2335,31.4,1334,.5,7.6,20,1.8,163.1
980,강정,2020-08-30,27.5,23.8,253,31.5,1315,0,5.2,1206,1.8,154.7
980,강정,2020-08-31,28.6,23.7,449,31.8,1135,0,12.2,1252,3.7,75.9
980,강정,2020-09-01,28.3,26.2,444,29.9,1155,0,12.1,2341,4.6,67.5
980,강정,2020-09-02,26.1,23,2205,28.7,23,301,29.5,2034,8.4,326.3
980,강정,2020-09-03,24.1,20.5,2143,28.7,1408,2.5,20,20,5.7,309.4
980,강정,2020-09-04,22.7,16,610,28,1545,0,6.1,1049,2,151.9
980,강정,2020-09-05,20.5,17.4,1648,23.3,647,10,13.7,1923,2.6,56.3
980,강정,2020-09-06,22.4,18.6,246,25.1,1743,13.5,13,2032,2,216.6
980,강정,2020-09-07,22.9,20.8,939,26.2,1518,25.5,21.3,807,6.9,329.1
980,강정,2020-09-08,25,22,1,28.5,1426,0,6.5,505,2.1,227.8
980,강정,2020-09-09,24.9,22.7,550,28.2,1231,0,6.2,1210,2.1,253.1
980,강정,2020-09-10,23.9,20.5,2338,28.6,1337,0,9.1,55,1.8,255.9
980,강정,2020-09-11,22,19.1,1806,25.6,1159,8,8.2,1837,2.1,87.2
980,강정,2020-09-12,22.7,18.3,521,27.1,1209,0,6.2,1406,1.7,219.4
980,강정,2020-09-13,22.3,20.4,344,26.5,1222,15.5,7,1211,2.1,168.8
980,강정,2020-09-14,22.1,19.4,2335,26.2,1220,1.5,7.3,1205,2,106.9
980,강정,2020-09-15,22.4,18,648,26.3,1010,0,5.8,1044,2,140.6
980,강정,2020-09-16,22.1,19.7,345,26.8,1433,29.5,7.7,1531,1.9,233.4
980,강정,2020-09-17,20.7,19.8,2326,21.9,12,46,4.2,1231,1.2,73.1
980,강정,2020-09-18,19.6,15.4,2328,21.8,1341,12,6,843,1.7,70.3
980,강정,2020-09-19,19.4,13.2,559,25.8,1132,0,5.1,305,2,2.8
980,강정,2020-09-20,20.4,14.3,507,27.1,1321,0,5.7,1305,2.3,151.9
980,강정,2020-09-21,21.2,15.4,56,25.3,1358,0,8.1,2057,2.6,75.9
980,강정,2020-09-22,20.9,19.1,36,24.4,1404,0,10.9,1347,3.9,61.9
980,강정,2020-09-23,20.5,16.7,220,22.5,1037,7,9.8,2106,3.5,73.1
980,강정,2020-09-24,21.2,19.5,2222,24.4,1437,.5,10.5,43,3.4,59.1
980,강정,2020-09-25,21.5,17.3,611,26.2,1323,0,5.7,1241,2,120.9
980,강정,2020-09-26,20.5,17,358,24.7,1215,0,8.1,937,2.2,67.5
980,강정,2020-09-27,20.7,16.8,112,24.6,1111,.5,12.9,1357,3.6,73.1
980,강정,2020-09-28,20,16,2355,23.8,1333,0,11.7,809,4.2,70.3
980,강정,2020-09-29,19.5,13.8,656,25.2,1315,0,7.3,1606,2.3,216.6
980,강정,2020-09-30,20,14.7,624,25.4,1337,0,5.9,1326,2.1,171.6
980,강정,2020-10-01,19.2,15.6,456,24.4,1333,0,6.4,1339,1.9,157.5
980,강정,2020-10-02,20.2,14.5,629,25.2,1243,0,5,1029,1.8,90
980,강정,2020-10-03,21.2,17.7,158,25.4,1221,0,5.5,1320,1.7,154.7
980,강정,2020-10-04,20.6,18.2,605,24,1102,.5,7,1804,1.6,295.3
980,강정,2020-10-05,18.5,13.4,657,22.8,1451,0,11.5,1706,2.2,281.3
980,강정,2020-10-06,17.7,12.5,639,22.9,1244,0,7.3,1223,2.2,149.1
980,강정,2020-10-07,18.9,14.5,554,23.1,1425,0,14.1,2233,3.3,11.3
980,강정,2020-10-08,19.7,16.6,2356,22.2,1250,0,20.1,1337,5.9,73.1
980,강정,2020-10-09,19.3,13.5,554,23.4,1318,0,15.8,106,3.7,19.7
980,강정,2020-10-10,20.3,17.9,429,23.7,1357,0,7,1343,1.7,244.7
980,강정,2020-10-11,19,15,2307,23.3,1215,0,7.9,1311,2.1,104.1
980,강정,2020-10-12,18.9,14,353,24.5,1246,0,5.9,1107,1.9,157.5
980,강정,2020-10-13,17.8,13.4,2204,23.4,1528,0,6.3,1315,2.1,222.2
980,강정,2020-10-14,17.4,11.5,320,24.3,1404,0,8.9,1325,2.5,112.5
980,강정,2020-10-15,17.2,12.9,548,22.6,1324,0,7.2,1008,2.2,64.7
980,강정,2020-10-16,16,12.1,2256,20.7,1024,9.5,4.5,319,1.4,33.8
980,강정,2020-10-17,15.9,10.2,635,22.2,1413,0,5.6,1222,2.1,126.6
980,강정,2020-10-18,17.1,11.6,637,22.2,1239,0,5.8,1325,2,151.9
980,강정,2020-10-19,16.5,10.7,611,23.2,1254,0,6.5,1304,2.2,163.1
980,강정,2020-10-20,17.8,10.7,311,22.5,1304,0,10.7,1535,3.7,50.6
980,강정,2020-10-21,18.5,16.7,2324,22.1,1038,31.5,8.4,238,1.7,61.9
980,강정,2020-10-22,17.5,14.9,2249,20.4,1258,11,12.2,2031,2.2,323.4
980,강정,2020-10-23,14.1,12.2,2333,16.6,1032,0,18.9,48,4.3,312.2
980,강정,2020-10-24,14.7,10.4,2227,20.8,1456,0,11.5,622,3,247.5
980,강정,2020-10-25,14.3,8.3,609,20.6,1407,0,6.5,1402,2,168.8
980,강정,2020-10-26,15.3,10.4,541,21.1,1323,0,6.3,1255,2.2,250.3
980,강정,2020-10-27,15.6,11.4,606,21.6,1358,0,4.9,1422,1.9,163.1
980,강정,2020-10-28,16.8,13.1,557,22.8,1227,0,3.9,1058,1.7,253.1
980,강정,2020-10-29,15.6,11,2307,21.4,1035,0,6,1429,2.1,171.6
980,강정,2020-10-30,15.5,10.1,716,20.5,1320,0,8.2,2145,2.2,84.4
980,강정,2020-10-31,15.4,11.4,2347,19.8,1507,0,8.8,1333,2.9,106.9
980,강정,2020-11-01,16.6,10.9,22,21.9,1613,2,6,1159,1.8,180
980,강정,2020-11-02,14.8,10.2,2240,19.3,1545,3.5,5,1922,1.5,5.6
980,강정,2020-11-03,12.6,9.7,538,16.8,1201,0,18.6,1121,3.3,306.6
980,강정,2020-11-04,11.2,6.6,720,16.9,1455,0,11.8,410,2.6,19.7
980,강정,2020-11-05,14.3,6.7,143,19.6,1532,0,6.3,1318,2.3,149.1
980,강정,2020-11-06,17.4,13.6,632,20.8,1257,0,4.1,216,1.4,8.4
980,강정,2020-11-07,18.6,13.3,2205,24.2,1500,0,6.4,1503,1.5,261.6
980,강정,2020-11-08,14.7,10.7,2242,19.3,1044,0,12.4,1156,4.1,306.6
980,강정,2020-11-09,11.1,6.8,549,16.8,1513,0,9.4,1040,2.6,213.8
980,강정,2020-11-10,12.1,5.9,357,18.8,1255,0,9.8,1608,2.6,326.3
980,강정,2020-11-11,12.3,7.9,220,18.3,1351,0,7.1,1340,2.2,137.8
980,강정,2020-11-12,14.2,10,2028,20.1,1324,0,7,916,2.3,61.9
980,강정,2020-11-13,13.4,7.9,608,21.2,1330,0,4.4,130,2.1,39.4
980,강정,2020-11-14,15.6,9.2,324,20.2,1147,0,9.3,1240,3.2,73.1
980,강정,2020-11-15,16.6,10.5,449,21,1210,0,6.1,1345,2,115.3
980,강정,2020-11-16,17.4,15.3,1937,20.5,1224,1.5,5,1749,1.2,59.1
980,강정,2020-11-17,20.3,16.7,200,24.3,1347,0,6,1609,2.2,87.2
980,강정,2020-11-18,21.2,19.7,501,22.4,1041,0,7.4,1058,2.7,73.1
980,강정,2020-11-19,19.6,14.7,2231,21.3,745,4.5,12.1,1636,3.3,284.1
980,강정,2020-11-20,15.3,12.5,2010,18.9,1204,0,13.3,1037,2.5,351.6
980,강정,2020-11-21,14.3,9.8,659,17.8,1449,0,9.7,1014,2.6,84.4
980,강정,2020-11-22,14.2,11.1,2215,17.4,1101,1,14.2,1834,2.7,354.4
980,강정,2020-11-23,10.2,7.5,2138,15,1307,0,9.9,36,1.9,295.3
980,강정,2020-11-24,12,7.8,32,15.9,1107,0,5.4,1219,1.6,143.4
980,강정,2020-11-25,13.3,8.6,718,18.5,1341,0,11.1,1204,2.2,129.4
980,강정,2020-11-26,12.3,10.3,628,14.4,1433,2.5,4.6,9,1.4,45
980,강정,2020-11-27,10.8,7.5,2240,14.7,931,0,13.1,1334,2.7,286.9
980,강정,2020-11-28,7.8,6.2,2231,9.9,1224,0,15.6,1918,3.8,278.4
980,강정,2020-11-29,8.2,4.7,2229,12.5,1302,0,11.7,438,3.4,303.8
980,강정,2020-11-30,7.9,4.6,37,11.9,1439,0,9,139,2.3,300.9
980,강정,2020-12-01,7.2,2.9,705,12.8,1335,0,6.6,1447,2.1,222.2
980,강정,2020-12-02,9.5,2.9,156,16,1306,0,5.8,1310,1.9,255.9
980,강정,2020-12-03,8.6,3.4,2353,13.8,943,0,15.3,621,4.2,354.4
980,강정,2020-12-04,7.3,3.5,1,11.7,1203,0,11.4,619,2.5,329.1
980,강정,2020-12-05,7.6,3.8,652,12.9,1259,0,6.5,1344,2.2,154.7
980,강정,2020-12-06,8.4,4.1,500,13.7,1415,0,6.7,1456,2.3,157.5
980,강정,2020-12-07,10.5,5.3,22,15.7,1346,0,9.2,1523,2.3,281.3
980,강정,2020-12-08,8.2,4.2,2045,12.8,1346,0,11.4,1352,2.7,275.6
980,강정,2020-12-09,8.4,4.8,2111,13.6,1202,0,5.7,1214,1.7,160.3
980,강정,2020-12-10,10.4,5.5,29,15.2,1304,0,4.5,1249,1.6,180
980,강정,2020-12-11,10.8,8.1,1,12.8,1204,0,3,1513,1.1,98.4
980,강정,2020-12-12,10.1,4.4,2337,13.9,1127,0,11.2,737,2.4,348.8
980,강정,2020-12-13,8.3,3.7,223,14.1,1345,0,11.2,1742,3.5,312.2
980,강정,2020-12-14,2.9,.4,2211,6.1,1331,0,14.7,226,3.9,289.7
980,강정,2020-12-15,3.1,-.3,739,6.9,1252,0,11.5,1430,2.5,275.6
980,강정,2020-12-16,3.6,1.1,36,6.1,1114,0,10.3,1155,3,340.3
980,강정,2020-12-17,4.8,-.3,50,9.8,1339,0,10,1214,2.6,281.3
980,강정,2020-12-18,6.8,2,212,9.9,1125,0,10.9,2317,2.8,295.3
980,강정,2020-12-19,4.3,-.9,2138,8.6,1437,0,13.1,702,3,295.3
980,강정,2020-12-20,5,-.4,442,8.5,1402,0,9,1311,2.6,326.3
980,강정,2020-12-21,6.6,4.5,2331,10,1446,0,7.9,1528,2.6,284.1
980,강정,2020-12-22,7.6,3.2,2155,12.8,1304,0,7.9,1251,2.5,272.8
980,강정,2020-12-23,10.1,3.4,506,15.7,1317,0,5.2,1215,1.7,163.1
980,강정,2020-12-24,11.2,6,2351,16.1,1524,0,12.2,1839,2.5,8.4
980,강정,2020-12-25,6.6,4.4,1859,10.9,1448,0,10.7,857,2.7,261.6
980,강정,2020-12-26,7.9,3.5,138,12.5,1311,0,6.1,1426,1.9,154.7
980,강정,2020-12-27,10.4,9,635,12.4,2039,44.5,10.5,1501,2.9,50.6
980,강정,2020-12-28,11.3,6.5,724,16.4,1225,0,8.7,1920,2.2,64.7
980,강정,2020-12-29,11.5,6.8,2256,15.8,1219,1,14.6,2307,2.5,5.6
980,강정,2020-12-30,-.1,-2.6,1852,9.6,17,6.5,18.1,842,6.2,292.5
980,강정,2020-12-31,1.3,-1.8,142,3.3,1233,4,12.1,38,4,323.4
