Entity,Year,Annual CO₂ emissions
World,1947,5165205500
World,1948,5447885000
World,1949,5204035000
World,1950,5930243600
World,1951,6381428700
World,1952,6467460600
World,1953,6650885000
World,1954,6789529000
World,1955,7443896000
World,1956,7926013000
World,1957,8185645000
World,1958,8417187300
World,1959,8854690000
World,1960,9387011000
World,1961,9415042000
World,1962,9747287000
World,1963,10266772000
World,1964,10824465000
World,1965,11310600000
World,1966,11862647000
World,1967,12237369000
World,1968,12905284000
World,1969,13761785000
World,1970,14899124000
World,1971,15503855000
World,1972,16224597000
World,1973,17085094000
World,1974,17011072000
World,1975,17052752000
World,1976,17989112000
World,1977,18498636000
World,1978,19069290000
World,1979,19609020000
World,1980,19488524000
World,1981,19022903000
World,1982,18871097000
World,1983,18991910000
World,1984,19647801000
World,1985,20311902000
World,1986,20614963000
World,1987,21250075000
World,1988,22085130000
World,1989,22386637000
World,1990,22728989000
World,1991,23186102000
World,1992,22528172000
World,1993,22755787000
World,1994,22992947000
World,1995,23532083000
World,1996,24258169000
World,1997,24401906000
World,1998,24303778000
World,1999,24853730000
World,2000,25510554000
World,2001,25706293000
World,2002,26276870000
World,2003,27669490000
World,2004,28632506000
World,2005,29614395000
World,2006,30628397000
World,2007,31534645000
World,2008,32074200000
World,2009,31541922000
World,2010,33355903000
World,2011,34504540000
World,2012,35000020000
World,2013,35301655000
World,2014,35450094000
World,2015,35404900000
World,2016,35416658000
World,2017,35989897000
World,2018,36730425000
World,2019,37104275000
World,2020,35126526000
World,2021,36991734000
World,2022,37293834000
World,2023,37791570000
